gather,"[0.011246038497442861, 168]"
sweep,"[0.011223470967437647, 41]"
community,"[0.01122053607392063, 430]"
trade,"[0.011215930014943516, 85]"
save,"[0.011215909362674583, 108]"
ramp,"[0.011209216401409058, 31]"
basic,"[0.011201559776189201, 70]"
65,"[0.011197681428721733, 43]"
robust,"[0.011194393056247, 46]"
health,"[0.011191481259562208, 323]"
smart,"[0.011185701969208805, 36]"
capable,"[0.011184826833880755, 43]"
truly,"[0.011182825126699542, 40]"
necessarily,"[0.011153437756938972, 34]"
sophisticate,"[0.011142464618282957, 38]"
estimate,"[0.011136492661016623, 384]"
insist,"[0.011134689732732996, 37]"
transfer,"[0.011133043064456408, 53]"
impossible,"[0.011130801152157251, 40]"
manage,"[0.011130356679084914, 318]"
assess,"[0.011126775859880159, 135]"
internal,"[0.011125532953746744, 32]"
implication,"[0.01112494225885473, 78]"
domestic,"[0.01111463032922434, 33]"
develop,"[0.011111997176229254, 197]"
"1,000","[0.011107822038937202, 50]"
extremely,"[0.011107234037189875, 104]"
bind,"[0.011106123033492104, 31]"
actual,"[0.01110409980981329, 58]"
put,"[0.011098109680529253, 34]"
co,"[0.011079383075324844, 243]"
last,"[0.01107813568879263, 65]"
capture,"[0.011077740319466529, 170]"
specifically,"[0.011075855681567295, 70]"
strongly,"[0.011066555740467238, 43]"
suite,"[0.011064585618665508, 85]"
responsibility,"[0.01106309540764256, 61]"
host,"[0.011052734358052643, 120]"
witness,"[0.011045781072159127, 47]"
capital,"[0.01104323106435238, 92]"
spread,"[0.011036884425462471, 138]"
closely,"[0.01103011583915166, 80]"
investigation,"[0.011013494949722433, 83]"
demonstrate,"[0.011011886344457152, 143]"
lower,"[0.0110106481970445, 37]"
construct,"[0.011005199000139946, 33]"
commercial,"[0.011002895700228825, 80]"
excite,"[0.010996192226439775, 87]"
ensure,"[0.010993860468190474, 207]"
function,"[0.010992303636180766, 65]"
shed,"[0.010985210341245418, 43]"
lee,"[0.010980913053774407, 49]"
dominate,"[0.010980235738125859, 44]"
obtain,"[0.01097887272742901, 58]"
discover,"[0.010978696595011321, 115]"
production,"[0.010978224742766649, 145]"
area,"[0.010961457253699422, 740]"
35,"[0.010958661961862825, 51]"
heavy,"[0.010955135446533796, 120]"
employ,"[0.010939318734268332, 40]"
movement,"[0.010926669156987319, 141]"
maker,"[0.010913065625127111, 94]"
examine,"[0.010890615765655214, 101]"
typical,"[0.010886186675319235, 39]"
steve,"[0.010884342212861692, 78]"
potentially,"[0.01087373414962869, 111]"
budget,"[0.010872458811008337, 72]"
regularly,"[0.010864249839645616, 41]"
refine,"[0.010864060523996943, 39]"
authority,"[0.01085982020828781, 63]"
independent,"[0.010850554895837677, 55]"
part,"[0.01084860812339786, 263]"
widely,"[0.01084303691982623, 59]"
contribute,"[0.010828835403818467, 371]"
annual,"[0.0108159236340641, 218]"
rich,"[0.010803504139517528, 81]"
narrow,"[0.010790086600844082, 50]"
yes,"[0.0107774854397232, 31]"
foot,"[0.010772958448375941, 255]"
equipment,"[0.010767402079768541, 41]"
historically,"[0.010766700124251257, 31]"
undergo,"[0.010762604308008423, 45]"
amount,"[0.010756166277202207, 127]"
lock,"[0.010753191081931264, 47]"
policy,"[0.010749914810890543, 191]"
professor,"[0.010742144454168129, 133]"
previous,"[0.010739214798220884, 227]"
type,"[0.010737578105690067, 243]"
tip,"[0.010734993033542712, 43]"
45,"[0.010725283142531057, 56]"
1990s,"[0.01071235239353541, 45]"
rely,"[0.010710474189789874, 121]"
argue,"[0.010698325191550773, 44]"
suffer,"[0.010685301779889286, 106]"
dead,"[0.010682507065083984, 51]"
future,"[0.01067477415003108, 638]"
influence,"[0.010671880253350167, 219]"
survive,"[0.01066676031884002, 73]"
extend,"[0.010664303364493366, 166]"
recover,"[0.01066350469026997, 82]"
partner,"[0.010662822185618199, 179]"
positive,"[0.010662041767865556, 89]"
signature,"[0.010659882998785265, 41]"
states,"[0.010653528194442345, 388]"
27,"[0.01064406352398313, 58]"
relate,"[0.010638597422257303, 262]"
town,"[0.010637936396311259, 65]"
strategy,"[0.010637416563889827, 104]"
indicate,"[0.010633954101106053, 153]"
dangerous,"[0.010628218505386339, 73]"
death,"[0.010625797352168901, 114]"
flat,"[0.010622959042262844, 33]"
post,"[0.010602527682202444, 85]"
having,"[0.010592393209859993, 32]"
extra,"[0.010592042320672363, 67]"
80,"[0.010577560010266723, 102]"
driver,"[0.010575106146956748, 77]"
foreign,"[0.010566942728110816, 34]"
basically,"[0.010562192990565602, 37]"
critical,"[0.0105619335626802, 318]"
link,"[0.010559135837603761, 232]"
guide,"[0.010550261750888119, 45]"
bank,"[0.010544971395322676, 45]"
aspect,"[0.010539534731117692, 85]"
size,"[0.010527029376126387, 218]"
feature,"[0.010520495786676375, 172]"
declare,"[0.010501467017388822, 53]"
sponsor,"[0.010492606333970516, 39]"
contrast,"[0.010489632469129753, 57]"
improve,"[0.010486466761160891, 507]"
slowly,"[0.01047902852848184, 67]"
requirement,"[0.010471277398093523, 39]"
according,"[0.010469763463356156, 191]"
response,"[0.010465751374258427, 227]"
reality,"[0.010465536183103427, 70]"
leader,"[0.010465345055083806, 176]"
assist,"[0.010463348615868647, 58]"
upcoming,"[0.010455287266558491, 77]"
december,"[0.010451795261379165, 164]"
factor,"[0.010449602114887902, 227]"
worth,"[0.010426962920368404, 38]"
decade,"[0.010416243595699296, 518]"
design,"[0.010414648940611277, 251]"
standard,"[0.010405647771331435, 87]"
county,"[0.010402715093793388, 32]"
stretch,"[0.01039864268876798, 76]"
giant,"[0.010395021172824608, 45]"
assume,"[0.010394400336515907, 42]"
product,"[0.010386733588000133, 175]"
28,"[0.010381319612072904, 67]"
welcome,"[0.010380582520656515, 55]"
given,"[0.010376885143415726, 37]"
19,"[0.0103750915045469, 61]"
shape,"[0.010366476106468453, 122]"
primary,"[0.010365074169953607, 113]"
performance,"[0.01036314859861836, 47]"
exactly,"[0.01035459653069703, 63]"
ongoing,"[0.010354236909583443, 127]"
powerful,"[0.01035171322650537, 107]"
location,"[0.01034630943868932, 210]"
international,"[0.010344848505865619, 545]"
worker,"[0.010338960930116001, 40]"
effectively,"[0.010331827062732828, 59]"
organization,"[0.010331476623549978, 316]"
fully,"[0.010329661045038088, 98]"
improvement,"[0.01031755903476572, 62]"
document,"[0.010311473001343907, 100]"
contact,"[0.010310211617847329, 62]"
answer,"[0.010305081645125494, 185]"
newly,"[0.010300641834805325, 39]"
foundation,"[0.010296508165257588, 90]"
cite,"[0.010296488884617256, 48]"
unit,"[0.010295588234328402, 51]"
usual,"[0.010287565449443934, 54]"
rate,"[0.010285421336955047, 287]"
school,"[0.010280524930704716, 122]"
multiple,"[0.010274185919645304, 135]"
blow,"[0.010273724868363775, 69]"
intend,"[0.010265585936943503, 31]"
second,"[0.010263043368321912, 71]"
low,"[0.010257338404744076, 504]"
profile,"[0.010256194265457296, 53]"
french,"[0.010255178768388796, 54]"
safe,"[0.010254830595924084, 95]"
complex,"[0.010251188846676163, 178]"
root,"[0.010248035517954961, 44]"
bear,"[0.01023457859881644, 92]"
ready,"[0.010228420769697951, 81]"
23,"[0.010225908195220108, 80]"
pool,"[0.010217652236595537, 39]"
70,"[0.010190090952896332, 123]"
sound,"[0.010189826188367822, 74]"
combine,"[0.010185909066926345, 279]"
era,"[0.010183182434408957, 67]"
pre,"[0.010180034109083332, 128]"
virtually,"[0.01017893250260626, 34]"
washington,"[0.010175006554356542, 241]"
white,"[0.010163213893689807, 68]"
anticipate,"[0.010160061274532197, 51]"
round,"[0.010159473464289243, 44]"
opposite,"[0.010157523959088957, 39]"
advance,"[0.010155653451382612, 243]"
york,"[0.010155306615819565, 224]"
drink,"[0.010151265542554574, 52]"
roughly,"[0.010146760535383522, 82]"
period,"[0.010137027349019072, 302]"
greatly,"[0.010135015155767587, 31]"
task,"[0.010129150325699625, 69]"
clearly,"[0.010123937864391155, 76]"
cause,"[0.01012041659704993, 595]"
associate,"[0.010120386656906297, 196]"
connection,"[0.010111980661274875, 74]"
frequently,"[0.010111182045076345, 49]"
additional,"[0.01009188135708993, 174]"
assistant,"[0.010085033911697685, 49]"
world,"[0.010074858387705837, 963]"
slightly,"[0.010073393359219175, 85]"
tend,"[0.010072661407508213, 76]"
benefit,"[0.010048535939473989, 219]"
train,"[0.010037024880724015, 62]"
division,"[0.010032200583723509, 137]"
connect,"[0.010029097922424785, 85]"
24,"[0.010028359911517955, 82]"
slow,"[0.010021411710099456, 168]"
track,"[0.010010173173760704, 366]"
successor,"[0.010002319943961346, 46]"
inform,"[0.00999939261195062, 93]"
flag,"[0.009996976556263266, 37]"
thousand,"[0.009989076451897973, 212]"
relatively,"[0.009987552178018267, 143]"
react,"[0.009978222229672382, 44]"
union,"[0.009972249332554424, 88]"
thursday,"[0.009971031611851358, 105]"
entirely,"[0.009968091164209755, 47]"
online,"[0.009966420126400147, 108]"
walk,"[0.009963223435879211, 33]"
reveal,"[0.00994857026210995, 199]"
count,"[0.009945914071565367, 51]"
status,"[0.009931454890760576, 40]"
31,"[0.009929637580716792, 59]"
originally,"[0.00992884754872604, 60]"
local,"[0.009927528799888202, 291]"
daily,"[0.009920106309510365, 134]"
story,"[0.009913534570058323, 146]"
physical,"[0.00991278277589493, 88]"
recommend,"[0.00991063787165699, 36]"
element,"[0.009909948156929377, 70]"
fast,"[0.00990950106130132, 315]"
arrive,"[0.00988279191098922, 73]"
completely,"[0.009881280218804715, 90]"
process,"[0.00987333005641268, 471]"
reflect,"[0.009861507142544133, 196]"
association,"[0.009860438269282517, 32]"
statement,"[0.009855070969960127, 82]"
separate,"[0.009848254055822576, 71]"
target,"[0.00982888724992232, 200]"
special,"[0.00982371666331669, 140]"
accept,"[0.009820678067424031, 45]"
difference,"[0.009813588397598376, 201]"
depend,"[0.00981265195751125, 167]"
burden,"[0.009811980684041046, 31]"
united,"[0.009811959779987292, 555]"
200,"[0.009799612584556291, 91]"
90,"[0.009793762495971484, 111]"
store,"[0.009782745602926135, 167]"
usually,"[0.00978049490784344, 73]"
effort,"[0.00978020917500822, 402]"
unlike,"[0.00977903551231268, 41]"
block,"[0.009773686715924119, 61]"
opportunity,"[0.009768783200880668, 245]"
north,"[0.009759851382741033, 353]"
repeat,"[0.009755977302937256, 61]"
substantial,"[0.009736272333824085, 35]"
necessary,"[0.009712394619605923, 81]"
remember,"[0.009709341954589541, 45]"
challenge,"[0.00970635824434403, 346]"
expensive,"[0.009706306190878354, 41]"
stock,"[0.00970374474582466, 44]"
attack,"[0.00969584895948773, 40]"
support,"[0.009692711198545385, 507]"
range,"[0.009687586970187626, 320]"
miss,"[0.009685560674733853, 78]"
avoid,"[0.009678400172125559, 100]"
search,"[0.009669830076186867, 51]"
ride,"[0.009667560069351636, 47]"
number,"[0.009663342706437605, 90]"
publish,"[0.009653986955679658, 334]"
highly,"[0.00962289365466736, 112]"
fail,"[0.009617984198745976, 57]"
quick,"[0.009612256189634264, 43]"
amid,"[0.009610296592503623, 41]"
apart,"[0.00960638994552504, 62]"
lie,"[0.009597800538771156, 104]"
2007,"[0.009589933989087028, 93]"
million,"[0.00958531492924372, 488]"
permanent,"[0.009576257991633294, 34]"
deliver,"[0.009573760980037704, 134]"
ultimately,"[0.009566484771853501, 116]"
date,"[0.00955606366140073, 136]"
season,"[0.009555406821022898, 278]"
career,"[0.009554961017526052, 31]"
property,"[0.009546226917587147, 111]"
eric,"[0.009544942437741843, 49]"
college,"[0.009543071228553898, 59]"
net,"[0.009520844791837768, 94]"
fight,"[0.009510739679627898, 118]"
instance,"[0.009502766289950546, 63]"
cent,"[0.009483699212755959, 219]"
spot,"[0.009479566081516093, 86]"
carry,"[0.009477602506183926, 218]"
realize,"[0.0094752569160201, 72]"
original,"[0.009459253860932758, 73]"
lift,"[0.009458725881082534, 35]"
promise,"[0.009450072072659597, 63]"
current,"[0.00944106747922395, 393]"
mark,"[0.009437005407829368, 174]"
financial,"[0.009436828196625233, 78]"
form,"[0.00943346929897817, 287]"
21,"[0.009428946416646848, 77]"
2006,"[0.00942881743894407, 57]"
sharp,"[0.009427946314626436, 41]"
heart,"[0.009423637689088932, 53]"
9,"[0.009419207981876046, 126]"
example,"[0.009418778566836747, 374]"
present,"[0.00941604554133445, 239]"
common,"[0.00940959753054958, 126]"
joe,"[0.009400449005988309, 32]"
administration,"[0.009396701005873795, 162]"
middle,"[0.009394320008451657, 110]"
monday,"[0.009391752777426009, 115]"
constant,"[0.009388406695034634, 32]"
manager,"[0.009385471564015209, 200]"
claim,"[0.009380484740475143, 41]"
care,"[0.009376559538704731, 76]"
previously,"[0.009373501116831242, 136]"
explain,"[0.009372725755213076, 254]"
city,"[0.009372451141711933, 269]"
evidence,"[0.009369649588702601, 154]"
particular,"[0.009368902599424737, 146]"
tuesday,"[0.00936389480140188, 101]"
perfect,"[0.009349737359281761, 31]"
review,"[0.009347718671237024, 65]"
matter,"[0.009345827145086097, 42]"
ahead,"[0.00933926464853436, 139]"
potential,"[0.009334488429653953, 269]"
identify,"[0.009327155589265708, 158]"
attention,"[0.009326828871306701, 87]"
fellow,"[0.009312984286398826, 37]"
cost,"[0.009296273514099108, 170]"
escape,"[0.009295669443272604, 39]"
billion,"[0.009288538312048093, 240]"
unknown,"[0.009277909064640528, 45]"
true,"[0.009268580526951654, 75]"
establish,"[0.009260987033763863, 135]"
piece,"[0.009258612493460194, 92]"
private,"[0.009242807963606832, 124]"
limit,"[0.009238794690083783, 264]"
fit,"[0.009232628310259922, 47]"
detail,"[0.00922701352897251, 267]"
park,"[0.009225695157874787, 82]"
department,"[0.00922391993627547, 118]"
broad,"[0.009213043070425576, 98]"
adjust,"[0.009209407075763919, 34]"
credit,"[0.00920102791622594, 77]"
approach,"[0.009200575796415976, 190]"
value,"[0.009197567313313412, 130]"
house,"[0.009187652931757256, 72]"
saturday,"[0.009183401070890192, 42]"
safety,"[0.009180202726129448, 60]"
national,"[0.00916931791843725, 566]"
17,"[0.00916782986319051, 103]"
prevent,"[0.00916568756214571, 128]"
tune,"[0.009153858905775877, 32]"
plus,"[0.009152530985442216, 42]"
border,"[0.009140979558752593, 32]"
essentially,"[0.009140697917754122, 63]"
simple,"[0.009131346843205278, 74]"
team,"[0.009121262300831885, 638]"
situation,"[0.009120950059922577, 117]"
pair,"[0.009120668012988437, 50]"
provide,"[0.009118576728834668, 775]"
complete,"[0.009117824423810626, 204]"
president,"[0.009113739412498864, 111]"
individual,"[0.009112794792078282, 163]"
60,"[0.009102084483954524, 100]"
respect,"[0.009089276459382649, 39]"
generally,"[0.00908900832260175, 72]"
travel,"[0.009069774841673449, 160]"
morning,"[0.009061591513796954, 58]"
maintain,"[0.009051968006967653, 143]"
500,"[0.009042743650840169, 63]"
push,"[0.009042106305588184, 160]"
option,"[0.009035970565926544, 39]"
2008,"[0.00903550296076186, 82]"
strength,"[0.009027547024154403, 54]"
hundred,"[0.009016148789098337, 148]"
currently,"[0.009015743556872477, 281]"
write,"[0.00900708907556024, 59]"
purpose,"[0.009004800816836387, 31]"
learn,"[0.008996342316794907, 288]"
choice,"[0.008992330856338496, 40]"
determine,"[0.00898753362725787, 253]"
role,"[0.008985808600448612, 328]"
amaze,"[0.008983566920770446, 34]"
program,"[0.008979591462489446, 346]"
emerge,"[0.008972291814092188, 64]"
apply,"[0.008972252746618553, 86]"
massive,"[0.008970998757690451, 119]"
success,"[0.00896849074379761, 87]"
bounce,"[0.008965502400569201, 45]"
mix,"[0.008962564982946794, 82]"
wide,"[0.008950075654974564, 181]"
total,"[0.00892547190585334, 237]"
staff,"[0.008923635695258947, 36]"
propose,"[0.008913521785512885, 52]"
16,"[0.008900374254832989, 106]"
directly,"[0.008898082914182785, 138]"
operate,"[0.008896241905699789, 182]"
eventually,"[0.008891974567163112, 77]"
expand,"[0.008891809609375925, 139]"
join,"[0.008890656034851684, 120]"
trip,"[0.008888055402756313, 38]"
list,"[0.00887088849168736, 56]"
represent,"[0.00884788554122066, 187]"
8,"[0.00883134781916941, 128]"
edge,"[0.008827468510307409, 97]"
strong,"[0.00882522259379427, 313]"
perform,"[0.008825132252222253, 75]"
7,"[0.008820909227535385, 125]"
relationship,"[0.008817570406308813, 86]"
wednesday,"[0.008810170187896461, 91]"
particularly,"[0.008803461056494214, 236]"
military,"[0.008803164193684716, 31]"
drop,"[0.0088001501429186, 123]"
show,"[0.008795298612165752, 539]"
idea,"[0.008793946761191532, 133]"
confirm,"[0.008782546408380386, 88]"
tom,"[0.008778315610576671, 45]"
friday,"[0.008778004296855645, 97]"
body,"[0.008767553392695176, 120]"
largely,"[0.008760435440775864, 87]"
huge,"[0.008757873138255714, 147]"
word,"[0.008754163851528838, 88]"
dozen,"[0.008741656262906714, 62]"
tie,"[0.008723936908963469, 60]"
job,"[0.008715887886411599, 135]"
today,"[0.0087110044712311, 343]"
acknowledge,"[0.008710796028341003, 43]"
night,"[0.008693316880806561, 89]"
describe,"[0.008684566080255193, 157]"
choose,"[0.008683520565713051, 47]"
struggle,"[0.008680567834092743, 42]"
fund,"[0.00867390048692541, 297]"
entire,"[0.008664083751309034, 210]"
bill,"[0.008661462788957476, 50]"
demand,"[0.00865937921325046, 103]"
reach,"[0.008648170632398854, 421]"
announce,"[0.008642867034083268, 95]"
kill,"[0.008624620255333436, 79]"
addition,"[0.008624300524665035, 270]"
floor,"[0.00862153228246298, 49]"
main,"[0.008620193068462354, 164]"
peter,"[0.008618573236112325, 35]"
name,"[0.008616406970146257, 60]"
schedule,"[0.008600760471220199, 145]"
board,"[0.008575876448344386, 57]"
business,"[0.008567034370454493, 156]"
executive,"[0.008561177104431507, 88]"
putt,"[0.008556397566294923, 61]"
different,"[0.008556274297829024, 462]"
party,"[0.008553039168516019, 59]"
respond,"[0.008548300674429701, 186]"
public,"[0.008537365313048065, 221]"
significant,"[0.008531684359023326, 283]"
advantage,"[0.008530664972954679, 70]"
twice,"[0.008508491567511838, 65]"
small,"[0.008503188233353241, 506]"
price,"[0.008499493487071881, 71]"
notice,"[0.008495179489689848, 44]"
remove,"[0.008490770253434528, 96]"
focus,"[0.008488615114255811, 343]"
accord,"[0.008482540207688908, 355]"
catch,"[0.008479453444037317, 64]"
release,"[0.008479210302992781, 309]"
refer,"[0.00847853838531504, 86]"
gain,"[0.00846461343261366, 138]"
investigate,"[0.008461435327533172, 87]"
key,"[0.008460821627778989, 426]"
exchange,"[0.008451019144306226, 66]"
prepare,"[0.00843977235923089, 141]"
imagine,"[0.008439164341758025, 36]"
100,"[0.008430802878098349, 186]"
moment,"[0.008429737814839335, 73]"
easily,"[0.008428800125127634, 57]"
james,"[0.008423578089143471, 37]"
replace,"[0.008407739549873745, 60]"
specific,"[0.008405712767389087, 119]"
match,"[0.008393215029608738, 53]"
draw,"[0.00838079324039691, 96]"
conduct,"[0.008364756630304334, 126]"
sort,"[0.008361768201032332, 46]"
account,"[0.00835348107223169, 213]"
age,"[0.008350281703008316, 117]"
talk,"[0.00834703079253086, 131]"
state,"[0.008340118457482693, 468]"
use,"[0.008338003245366744, 680]"
overall,"[0.008328450537955554, 156]"
ability,"[0.008312427131050609, 197]"
question,"[0.008294344448349712, 270]"
possibility,"[0.008292369239944464, 67]"
build,"[0.008287014104754836, 469]"
lack,"[0.008279454836982123, 137]"
attempt,"[0.008269991821293534, 48]"
star,"[0.008252136440629783, 36]"
finally,"[0.00824846977449385, 61]"
25,"[0.008245320349682093, 149]"
series,"[0.008234273553013328, 223]"
pretty,"[0.00823392525805118, 85]"
pull,"[0.008232964707375367, 94]"
step,"[0.008224464216045621, 217]"
grow,"[0.008214765571671646, 418]"
40,"[0.008192077998591962, 180]"
decision,"[0.008189675174487923, 193]"
create,"[0.008189047716728003, 430]"
kick,"[0.008188002631433497, 42]"
service,"[0.008182443515154349, 188]"
government,"[0.008177574869933934, 316]"
rule,"[0.008168339122909705, 42]"
direct,"[0.008156618441229592, 143]"
life,"[0.008155843955937575, 322]"
worry,"[0.00814049999896335, 35]"
die,"[0.00812889691415693, 80]"
goal,"[0.008126485032849934, 246]"
chance,"[0.008116167020614011, 77]"
term,"[0.008084518726260538, 469]"
50,"[0.008083529739430363, 187]"
fill,"[0.008082313397770227, 111]"
important,"[0.008079050272684697, 528]"
enter,"[0.008077626124409076, 96]"
control,"[0.008068699444883205, 163]"
wait,"[0.008067436312778302, 44]"
keep,"[0.008066139413667895, 155]"
confidence,"[0.008059237453463831, 43]"
certain,"[0.008046303230016821, 114]"
large,"[0.008042875466818844, 694]"
person,"[0.008027168592147797, 72]"
soon,"[0.008026827871214622, 85]"
sunday,"[0.008024978047437811, 43]"
result,"[0.008020221691797036, 566]"
game,"[0.008014318150129592, 31]"
probably,"[0.007998772910643243, 86]"
require,"[0.007994130045215484, 231]"
compare,"[0.00799067477109932, 280]"
non,"[0.00798878607379618, 117]"
break,"[0.00798499236587694, 183]"
18,"[0.007977341957920115, 94]"
offer,"[0.007961965879341126, 141]"
room,"[0.00795853139159409, 37]"
hour,"[0.007950209709489972, 188]"
people,"[0.007947613443430358, 685]"
single,"[0.007946429035340723, 164]"
surprise,"[0.00794047453255374, 108]"
contract,"[0.007940310892747956, 34]"
recent,"[0.007936937159719394, 341]"
dollar,"[0.007932493374987902, 62]"
quarter,"[0.007931437605028265, 76]"
simply,"[0.007921072090133579, 70]"
handle,"[0.007914728464510728, 41]"
basis,"[0.007904334491349144, 73]"
quickly,"[0.007893692298501207, 159]"
agree,"[0.007883901259872659, 129]"
sense,"[0.007863220050019725, 209]"
exist,"[0.007857444278602426, 198]"
note,"[0.007832869573091171, 319]"
near,"[0.00783031391954239, 347]"
appear,"[0.00781339551990889, 164]"
2004,"[0.007804916455799443, 35]"
meet,"[0.007782269175155421, 293]"
act,"[0.007766239679102321, 203]"
free,"[0.0077619903944849316, 127]"
6,"[0.007759139056612785, 147]"
wrong,"[0.0077390464023232375, 166]"
14,"[0.007736409300719954, 106]"
senior,"[0.007735969951071847, 106]"
vice,"[0.0077358252059974075, 31]"
love,"[0.007724192459935077, 32]"
fine,"[0.0077079210606572895, 71]"
possible,"[0.007706317764201057, 283]"
actually,"[0.007699587535527945, 160]"
suggest,"[0.007693104426526707, 160]"
stand,"[0.007685704976915752, 120]"
maybe,"[0.00768549858069284, 36]"
send,"[0.007683989272337368, 126]"
live,"[0.007683301029001401, 469]"
able,"[0.007681262374931758, 370]"
likely,"[0.007671217670386945, 315]"
outside,"[0.007659259360710136, 92]"
watch,"[0.007644157847791734, 100]"
receive,"[0.007629815528649449, 138]"
pass,"[0.007599157991078527, 130]"
numb,"[0.007598349235601548, 272]"
past,"[0.007597937679147137, 407]"
couple,"[0.007591658507145274, 85]"
charge,"[0.007575182948472958, 47]"
especially,"[0.007575025614474899, 228]"
federal,"[0.007573035036265978, 34]"
office,"[0.007570480433860285, 184]"
law,"[0.0075646496272740995, 46]"
money,"[0.007563429856968486, 46]"
matt,"[0.007559262937624013, 132]"
problem,"[0.007558702677717181, 256]"
experience,"[0.007558399445655738, 257]"
regular,"[0.007558157159704975, 53]"
easy,"[0.007542870104376198, 108]"
12,"[0.007532377039327367, 153]"
raise,"[0.007526615569271617, 164]"
title,"[0.007518266252329116, 45]"
seek,"[0.007502194112874594, 90]"
paul,"[0.007487727825908801, 40]"
short,"[0.00748650070166868, 239]"
similar,"[0.007472901181771743, 197]"
majority,"[0.007469863839826017, 48]"
force,"[0.007455779507675886, 272]"
family,"[0.007446867480268938, 91]"
john,"[0.007446694119357992, 65]"
double,"[0.007435128424763061, 109]"
position,"[0.007433706206541945, 74]"
company,"[0.007418339085201432, 98]"
hear,"[0.007411266211635861, 91]"
forward,"[0.007408044354020552, 164]"
interest,"[0.007400994628064598, 196]"
official,"[0.007397134125325959, 112]"
stage,"[0.007387033744300521, 63]"
press,"[0.007328276063141436, 80]"
speak,"[0.007326846124222726, 105]"
sit,"[0.007312229823134525, 66]"
director,"[0.007279777314738618, 246]"
cut,"[0.0072767863213086805, 118]"
11,"[0.007274843288859475, 104]"
clear,"[0.00727456207300085, 231]"
30,"[0.007274432277985593, 237]"
concern,"[0.007272501979314963, 174]"
13,"[0.007254467053806567, 71]"
stop,"[0.007238772947662962, 127]"
history,"[0.007234433477845939, 124]"
difficult,"[0.007222759554845629, 165]"
drive,"[0.0072162067233404415, 305]"
final,"[0.007202004639833862, 102]"
american,"[0.007200326215439302, 126]"
hit,"[0.007180610857243385, 166]"
certainly,"[0.007163787285208697, 37]"
hand,"[0.007147389773024905, 133]"
market,"[0.0071445134048603665, 63]"
prove,"[0.007119529899759992, 77]"
lose,"[0.007118801901780972, 271]"
immediately,"[0.007118185769391734, 31]"
major,"[0.007115513886858211, 426]"
nearly,"[0.007108418599037372, 265]"
sign,"[0.007097959120439, 149]"
face,"[0.007083995793849446, 249]"
continue,"[0.007081235203909101, 632]"
high,"[0.007075145384880125, 863]"
recently,"[0.00703903801088676, 185]"
win,"[0.007036270918215445, 68]"
david,"[0.0070270016689323814, 53]"
figure,"[0.007021256859005845, 102]"
u.s.,"[0.007008960225117781, 347]"
right,"[0.006964858607960653, 312]"
course,"[0.0069614411141912065, 159]"
5,"[0.006952367222619792, 222]"
15,"[0.006938776367224074, 214]"
let,"[0.0069343356188299185, 120]"
real,"[0.006915803308564526, 212]"
involve,"[0.006904777623072822, 199]"
sure,"[0.0068903065606636055, 101]"
base,"[0.006880688027505889, 659]"
begin,"[0.006874807935096901, 528]"
need,"[0.0068725565471553455, 743]"
share,"[0.006856100369794769, 166]"
half,"[0.006855386876680044, 281]"
happen,"[0.006839475155470236, 328]"
pay,"[0.006839069866961677, 65]"
issue,"[0.006836323413679934, 287]"
help,"[0.0068176882644512575, 783]"
hope,"[0.006817652930892828, 195]"
stay,"[0.006808326700464442, 115]"
group,"[0.006805256482231075, 255]"
news,"[0.006776995628337563, 314]"
3,"[0.0067723044237688, 204]"
order,"[0.006762427867472213, 164]"
man,"[0.006750198397571357, 96]"
line,"[0.006740102850100071, 198]"
mean,"[0.00673272377817242, 414]"
despite,"[0.006721158764628463, 129]"
move,"[0.00670959624042619, 251]"
member,"[0.006705266053134805, 187]"
bad,"[0.006702215266412891, 41]"
serve,"[0.006667570238269601, 107]"
deal,"[0.0066073397321590715, 98]"
day,"[0.0066009435787557705, 623]"
bite,"[0.006596368908090248, 75]"
spend,"[0.0065657579247325746, 110]"
far,"[0.006540879163897033, 398]"
consider,"[0.006532352909710229, 133]"
4,"[0.006530518063396289, 201]"
mind,"[0.006500341955597013, 52]"
1,"[0.006490436515552345, 239]"
rest,"[0.006489829427887872, 102]"
decide,"[0.006462224002664481, 48]"
great,"[0.006423530732408805, 411]"
interview,"[0.006405871507937394, 39]"
reason,"[0.0064002053504197826, 131]"
minute,"[0.006397705069977604, 78]"
plan,"[0.006396746195797751, 379]"
fact,"[0.006369528952690987, 213]"
hold,"[0.006365593059317252, 248]"
20,"[0.006346282135184116, 259]"
find,"[0.0063291677106177766, 632]"
fall,"[0.0063045246781646015, 282]"
see,"[0.006303928592246842, 432]"
bring,"[0.006299361782259747, 333]"
case,"[0.006276226637751546, 200]"
lot,"[0.006270143954200698, 269]"
home,"[0.006264490544921491, 284]"
seven,"[0.006260931848571944, 114]"
month,"[0.0061809587051728, 431]"
follow,"[0.0061680044189583545, 323]"
ask,"[0.006160987948578124, 148]"
allow,"[0.006137227958399385, 417]"
instead,"[0.006098832678215904, 120]"
centre,"[0.006094503287031674, 137]"
head,"[0.006077690260055875, 160]"
lead,"[0.0060575947276429246, 735]"
set,"[0.006042233108314947, 442]"
return,"[0.006034126231124767, 177]"
turn,"[0.0059463200837221175, 268]"
expect,"[0.005922494923238927, 388]"
place,"[0.005911780484896634, 465]"
away,"[0.005905637317956412, 233]"
remain,"[0.005887210690916362, 261]"
kind,"[0.005855179175917345, 177]"
